calendar week,year of death,week of death,age group 00 - 09,age group 10 - 19,age group 20 - 29,age group 30 - 39,age group 40 - 49,age group 50 - 59,age group 60 - 69,age group 70 - 79,age group 80 - 89,age group 90+,sum of cases,age group 00 - 09 (%),age group 10 - 19 (%),age group 20 - 29 (%),age group 30 - 39 (%),age group 40 - 49 (%),age group 50 - 59 (%),age group 60 - 69 (%),age group 70 - 79 (%),age group 80 - 89 (%),age group 90+ (%)
2020 - 30,2020,30,0,0,0,0,2,2,4,6,9,6,29,0.0,0.0,0.0,0.0,6.896551724137931,6.896551724137931,13.793103448275861,20.689655172413794,31.03448275862069,20.689655172413794
2020 - 31,2020,31,0,0,0,0,2,0,6,8,9,6,31,0.0,0.0,0.0,0.0,6.451612903225806,0.0,19.35483870967742,25.806451612903224,29.03225806451613,19.35483870967742
2020 - 32,2020,32,0,0,2,0,0,2,2,8,12,4,30,0.0,0.0,6.666666666666667,0.0,0.0,6.666666666666667,6.666666666666667,26.666666666666668,40.0,13.333333333333334
2020 - 33,2020,33,0,0,0,0,0,2,4,6,14,6,32,0.0,0.0,0.0,0.0,0.0,6.25,12.5,18.75,43.75,18.75
2020 - 34,2020,34,0,0,0,0,2,2,5,9,15,9,42,0.0,0.0,0.0,0.0,4.761904761904762,4.761904761904762,11.904761904761903,21.428571428571427,35.714285714285715,21.428571428571427
2020 - 35,2020,35,0,0,0,2,0,8,6,10,10,2,38,0.0,0.0,0.0,5.263157894736842,0.0,21.052631578947366,15.789473684210526,26.31578947368421,26.31578947368421,5.263157894736842
2020 - 36,2020,36,0,0,0,2,0,2,2,8,2,2,18,0.0,0.0,0.0,11.11111111111111,0.0,11.11111111111111,11.11111111111111,44.44444444444444,11.11111111111111,11.11111111111111
2020 - 37,2020,37,0,0,0,0,0,2,2,9,15,2,30,0.0,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667,30.0,50.0,6.666666666666667
2020 - 38,2020,38,0,0,0,2,0,5,5,10,20,12,54,0.0,0.0,0.0,3.7037037037037033,0.0,9.25925925925926,9.25925925925926,18.51851851851852,37.03703703703704,22.22222222222222
2020 - 39,2020,39,0,0,0,0,2,2,4,16,25,16,65,0.0,0.0,0.0,0.0,3.076923076923077,3.076923076923077,6.153846153846154,24.615384615384617,38.46153846153847,24.615384615384617
2020 - 40,2020,40,0,0,0,0,0,6,2,17,39,16,80,0.0,0.0,0.0,0.0,0.0,7.5,2.5,21.25,48.75,20.0
2020 - 41,2020,41,0,0,2,0,2,4,15,34,46,21,124,0.0,0.0,1.6129032258064515,0.0,1.6129032258064515,3.225806451612903,12.096774193548388,27.419354838709676,37.096774193548384,16.93548387096774
2020 - 42,2020,42,0,0,2,2,2,7,15,44,125,46,243,0.0,0.0,0.823045267489712,0.823045267489712,0.823045267489712,2.880658436213992,6.172839506172839,18.106995884773664,51.440329218106996,18.930041152263374
2020 - 43,2020,43,0,0,2,2,7,5,38,76,176,107,413,0.0,0.0,0.48426150121065376,0.48426150121065376,1.694915254237288,1.2106537530266344,9.200968523002421,18.401937046004843,42.615012106537534,25.907990314769975
2020 - 44,2020,44,0,2,0,2,6,27,58,148,360,197,800,0.0,0.25,0.0,0.25,0.75,3.375,7.249999999999999,18.5,45.0,24.625
2020 - 45,2020,45,0,0,2,2,5,29,89,224,607,299,1257,0.0,0.0,0.15910898965791567,0.15910898965791567,0.3977724741447892,2.307080350039777,7.080350039777247,17.820206841686556,48.289578361177405,23.786793953858393
2020 - 46,2020,46,0,0,0,6,16,46,99,319,786,384,1656,0.0,0.0,0.0,0.36231884057971014,0.966183574879227,2.7777777777777777,5.978260869565218,19.263285024154587,47.46376811594203,23.18840579710145
2020 - 47,2020,47,0,0,4,2,17,48,159,411,979,510,2130,0.0,0.0,0.18779342723004694,0.09389671361502347,0.7981220657276996,2.2535211267605635,7.464788732394366,19.295774647887324,45.96244131455399,23.943661971830984
2020 - 48,2020,48,0,0,4,2,16,70,197,570,1318,741,2918,0.0,0.0,0.1370801919122687,0.06854009595613435,0.5483207676490748,2.3989033584647017,6.751199451679232,19.533927347498288,45.16792323509253,25.39410555174777
