date,RKI reporting date,cases cumulative,cases,deaths cumulative,deaths,case fatility rate (CFR),non-deceased reported cases,cases (mean of ±3 days),deaths (mean of ±3 days),R0 by cases (mean of ±3 days),daily proportionate increase of cases (mean of ±3 days),cases last 7 days,deaths last 7 days,"7 day incidence per 100,000 inhabitants","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants","7 day deaths per 1,000,000 inhabitants","7 day deaths (by cases (mean of ±3 days)) per 1,000,000 inhabitants","cases (mean of ±3 days) by reference date (start of illness, alternatively reporting date)","deaths (mean of ±3 days) by reference date (start of illness, alternatively reporting date)",cases (mean of ±3 days) by reporting date,deaths (mean of ±3 days) by reporting date,"7 day incidence per 100,000 inhabitants by reporting date (RKI version)","7 day incidence (by cases (mean of ±3 days)) per 100,000 inhabitants by reporting date (RKI version)",R value by cases (mean of ±3 days),cases last 365 days,deaths last 365 days,cases with reported start of illness (mean of ±3 days),R value by cases with reported start of illness (mean of ±3 days),"cases by reference date (start of illness, alternatively reporting date)",cases by reporting date,"new reported cases by reference date (start of illness, alternatively reporting date)",new reported cases by reporting date,"deaths by reference date (start of illness, alternatively reporting date)",deaths by reporting date,"new reported deaths by reference date (start of illness, alternatively reporting date)",new reported deaths by reporting date,new reported cases with known start of illness,new reported cases with unknown start of illness (reporting date),new reported deaths with known start of illness,new reported deaths with unknown start of illness (reporting date),cases with reported start of illness,cases with unknown start of illness (reporting date),deaths with reported start of illness,deaths with unknown start of illness (reporting date)
2020-07-09,2020-07-10,198178.0,395.0,9054.0,6.0,0.0456862012937863,189124.0,344.14285714285717,6.857142857142857,0.9242182364541272,0.9756986634264885,2504.0,51.0,3.0108200383203805,3.040021282416368,0.6132261260157323,0.6115084057747919,366.85714285714283,,346.0,,2.945890213212832,2.984538918633992,0.9242182364541272,198162.0,9054.0,209.0,1.0425650557620818,381.0,425.0,,,4.0,5.0,,,,,,,200.0,181.0,2.0,2.0
2020-07-10,2020-07-11,198556.0,378.0,9060.0,6.0,0.0456294445899393,189496.0,347.2857142857143,6.285714285714286,0.942953667953668,1.009132420091324,2460.0,50.0,2.9579142548994155,2.996391188296481,0.6012020843291495,0.5994843640882089,381.14285714285717,,346.2857142857143,,2.944687809044174,2.9551659025139108,0.9429536679536679,198540.0,9060.0,223.42857142857142,1.0987978963185574,452.0,425.0,,,4.0,3.0,,,,,,,251.0,201.0,2.0,2.0
2020-07-11,2020-07-12,198804.0,248.0,9063.0,3.0,0.0455876139313092,189741.0,340.7142857142857,5.0,0.9564874198322644,0.9810777457836282,2469.0,51.0,2.9687358924173397,2.9567118507307573,0.6132261260157323,0.5720008402331622,393.57142857142856,,356.85714285714283,,2.925449342345641,2.949840969766995,0.9564874198322643,198788.0,9063.0,234.0,1.143980527991013,348.0,276.0,,,2.0,,,,,,,,214.0,134.0,2.0,
2020-07-12,2020-07-13,198963.0,159.0,9064.0,1.0,0.0455562089433713,189899.0,353.85714285714283,4.285714285714286,0.9713656387665196,1.0385744234800838,2409.0,48.0,2.896591642297842,2.9433136328514213,0.5771540009559835,0.530775554450592,419.7142857142857,,369.7142857142857,,2.9122228964904,2.9654722239595532,0.9713656387665196,198947.0,9064.0,251.57142857142858,1.1782178217821782,236.0,131.0,,,,1.0,,,,,,,176.0,60.0,,
2020-07-13,2020-07-14,199375.0,412.0,9068.0,4.0,0.045482131661442,190307.0,380.7142857142857,4.0,1.0117862223125382,1.0758982640290675,2431.0,44.0,2.923044534008324,2.9709689287305623,0.5290578342096516,0.49126798890896206,435.2857142857143,,388.0,,2.9146277048277165,3.0111635823685683,1.0117862223125382,199359.0,9068.0,258.42857142857144,1.207345337849884,474.0,326.0,,,3.0,5.0,,,,,,,327.0,147.0,2.0,1.0
2020-07-14,2020-07-15,199726.0,351.0,9071.0,3.0,0.0454172215935832,190655.0,402.2857142857143,3.2857142857142856,1.0587572934793736,1.0566604127579737,2385.0,35.0,2.8677339422500427,3.032119769308042,0.4208414590304046,0.4448895424035705,446.14285714285717,,401.85714285714283,,3.0036056133084306,3.0736885991388,1.0587572934793736,199710.0,9071.0,267.85714285714283,1.2107692307692308,468.0,465.0,,,5.0,2.0,,,,,,,274.0,194.0,3.0,2.0
2020-07-15,2020-07-16,200260.0,534.0,9078.0,7.0,0.0453310696095076,191182.0,395.7142857142857,3.0,1.1066639158242213,0.9836647727272728,2477.0,30.0,2.9783551257666065,3.0838231485603482,0.36072125059748966,0.39335793517535766,467.85714285714283,,425.2857142857143,,3.1118219884876774,3.1671325802459593,1.1066639158242213,200244.0,9078.0,274.42857142857144,1.2055646481178395,579.0,540.0,,,5.0,6.0,,,,,,,319.0,260.0,5.0,
2020-07-16,2020-07-17,200843.0,583.0,9082.0,4.0,0.0452194002280388,191761.0,408.57142857142856,3.142857142857143,1.1452277880849309,1.032490974729242,2665.0,28.0,3.2044071094743667,3.1612923314267616,0.33667316722432367,0.3486972089109066,489.57142857142856,4.857142857142857,432.14285714285717,,3.26572972207594,3.270711110774667,1.1452277880849309,200827.0,9082.0,289.2857142857143,1.187363834422658,490.0,553.0,,,7.0,7.0,,,,,,,248.0,242.0,3.0,4.0
2020-07-17,2020-07-18,201372.0,529.0,9083.0,1.0,0.0451055757503525,192289.0,424.2857142857143,3.142857142857143,1.14641494275959,1.0384615384615385,2816.0,23.0,3.38597013894177,3.2538774524134504,0.27655295879140873,0.31090736361021726,509.14285714285717,5.428571428571429,450.2857142857143,,3.3823629264357944,3.39576114431513,1.14641494275959,201356.0,9083.0,299.42857142857144,1.1690785587714116,528.0,522.0,,,4.0,6.0,,,,,,,317.0,211.0,3.0,1.0
2020-07-18,2020-07-19,201574.0,202.0,9084.0,1.0,0.0450653358071973,192490.0,439.0,3.4285714285714284,1.1285893841245287,1.0346801346801346,2770.0,21.0,3.3306595471834877,3.372056604990152,0.25250487541824274,0.29201244095987255,527.7142857142857,5.285714285714286,458.42857142857144,,3.5795572100957553,3.5178910534459944,1.1285893841245287,201558.0,9084.0,313.2857142857143,1.1626429479034308,500.0,440.0,,,2.0,,,,,,,,260.0,240.0,2.0,
