date,cases (Nowcast RKI),min cases (Nowcast RKI),max cases (Nowcast RKI),7 day R value (Nowcast RKI),min 7 day R value (Nowcast RKI),max 7 day R value (Nowcast RKI),cases (mean of ±3 days of Nowcast RKI),R value calculated with cases (mean of ±3 days of Nowcast RKI),Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),min Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),max Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),"7 day R value (Nowcast RKI, -5 days incubation period)","min 7 day R value (Nowcast RKI, -5 days incubation period)","max 7 day R value (Nowcast RKI, -5 days incubation period)",Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value by Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value calculated with cases (mean of ±3 days of Nowcast RKI) -> minus 4 days,R value by Infections minus 4 days
2020-09-04,1336.0,1288.0,1387.0,1.06,1.05,1.08,1290.4285714285713,1.0468395268251882,1519.0,1474.0,1570.0,1.11,1.09,1.12,1474.142857142857,1.1032813942428736,1.0944526880493095,1.1407490047922109
2020-09-05,1254.0,1207.0,1302.0,1.08,1.06,1.09,1319.142857142857,1.063044577274214,1600.0,1553.0,1652.0,1.12,1.1,1.13,1523.857142857143,1.1125006841442724,1.1032813942428736,1.1429660787641747
2020-09-06,1247.0,1201.0,1295.0,1.1,1.08,1.11,1350.4285714285713,1.0761890737741129,1613.0,1566.0,1666.0,1.15,1.13,1.16,1579.4285714285713,1.1229186155285313,1.1125006841442724,1.136716332651021
2020-09-07,1331.0,1286.0,1379.0,1.09,1.08,1.11,1385.0,1.0868239121594143,1601.0,1555.0,1660.0,1.14,1.13,1.16,1635.5714285714287,1.1339364864160193,1.1229186155285313,1.1211515026097354
2020-09-08,1408.0,1365.0,1454.0,1.1,1.08,1.11,1424.5714285714287,1.0944526880493095,1595.0,1550.0,1654.0,1.15,1.14,1.17,1688.2857142857142,1.1407490047922109,1.1339364864160193,1.098844187597244
2020-09-09,1519.0,1474.0,1570.0,1.11,1.09,1.12,1474.142857142857,1.1032813942428736,1720.0,1673.0,1777.0,1.15,1.14,1.16,1734.5714285714287,1.1429660787641747,1.1407490047922109,1.0723340148498872
2020-09-10,1600.0,1553.0,1652.0,1.12,1.1,1.13,1523.857142857143,1.1125006841442724,1801.0,1752.0,1856.0,1.14,1.12,1.15,1764.142857142857,1.136716332651021,1.1429660787641747,1.0485363708698021
2020-09-11,1613.0,1566.0,1666.0,1.15,1.13,1.16,1579.4285714285713,1.1229186155285313,1888.0,1839.0,1941.0,1.12,1.1,1.13,1778.7142857142858,1.1211515026097354,1.136716332651021,1.0326086956521738
2020-09-12,1601.0,1555.0,1660.0,1.14,1.13,1.16,1635.5714285714287,1.1339364864160193,1924.0,1876.0,1977.0,1.07,1.06,1.08,1785.0,1.098844187597244,1.1211515026097354,1.0271658878977286
2020-09-13,1595.0,1550.0,1654.0,1.15,1.14,1.17,1688.2857142857142,1.1407490047922109,1820.0,1773.0,1873.0,1.03,1.02,1.05,1790.142857142857,1.0723340148498872,1.098844187597244,1.032994821980492
