date,number of reporting areas,COVID-19 cases,occupied intensive care beds,free intensive care beds,emergency reserve,intensive care patients with positive COVID-19 test,invasively ventilated,with treatment completed,thereof deceased,intensive care patients without positive COVID-19 test,in intensive care treatment (change from previous day),thereof invasively ventilated (change from previous day),with treatment completed (change from previous day),thereof deceased (change from previous day),newly admitted intensive care patients with a positive COVID-19 test,newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),intensive care patients with positive COVID-19 test (mean ±3 days),thereof invasively ventilated (mean ±3 days),invasively ventilated (%),Proportion of occupied intensive care beds (%),Proportion of occupied intensive care beds incl. emergency reserve (%),Proportion of patients with positive COVID-19 test in occupied intensive care beds (%),Proportion of patients with positive COVID-19 test in available intensive care beds without emergency reserve (%),Proportion of patients with positive COVID-19 test in available intensive care beds incl. emergency reserve (%),intensive care patients with positive COVID-19 test (change from previous day),"intensive care patients with positive COVID-19 test (change from previous day, mean ±3 days)",not invasively ventilated,invasively ventilated (change from previous day),invasively ventilated (mean ±3 days),number of intensive care beds,number of intensive care beds incl. emergency reserve,number of occupied intensive care beds (mean ±3 days),"with treatment completed (change from previous day, mean ±3 days)",R value calculated by newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test,calculated start of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days),R value by calculated onset of infection of newly admitted intensive care patients with a positive COVID-19 test (mean ±3 days)
2020-09-30,1668.0,355.0,21960.0,8702.0,12206.0,355.0,195.0,17578.0,4205.0,21605.0,3.0,0.0,42.0,9.0,45.0,58.714285714285715,360.57142857142856,193.7142857142857,54.929577464788736,71.61959428608702,51.22702248763646,1.6165755919854279,1.157784880307873,0.8281235420360176,3.0,13.0,160.0,0.0,193.71428571428572,30662.0,42868.0,21586.0,45.57142857142857,1.2575503355704698,87.0,99.0,1.147961328289197
2020-10-01,1670.0,362.0,21821.0,8703.0,12180.0,362.0,193.0,17605.0,4197.0,21459.0,7.0,-2.0,27.0,-8.0,34.0,57.0,374.7142857142857,198.42857142857144,53.31491712707182,71.48800943519853,51.098257774447355,1.6589523853168964,1.1859520377407942,0.847695766204571,7.0,14.142857142857142,169.0,-2.0,198.42857142857142,30524.0,42704.0,21567.714285714286,42.857142857142854,1.1599696739954515,174.0,105.42857142857143,1.1323886639676113
2020-10-02,1670.0,373.0,21789.0,8676.0,12159.0,373.0,199.0,17657.0,4201.0,21416.0,11.0,6.0,52.0,4.0,63.0,56.0,388.14285714285717,201.1428571428572,53.35120643431635,71.52141802067948,51.11908783783784,1.71187296342191,1.2243558181519776,0.8750938438438438,11.0,13.285714285714286,174.0,6.0,201.14285714285714,30465.0,42624.0,21541.14285714286,42.57142857142857,1.096275474349965,93.0,124.71428571428571,1.154534838458544
2020-10-03,1669.0,403.0,21509.0,8806.0,12213.0,404.0,204.0,17696.0,4210.0,21106.0,31.0,5.0,39.0,9.0,70.0,57.0,402.0,204.57142857142856,50.495049504950494,70.95167408873495,50.576091045899176,1.8736342926216933,1.3293748969157182,0.9476109857035364,30.0,13.857142857142858,200.0,5.0,204.57142857142858,30315.0,42528.0,21491.85714285714,43.142857142857146,1.089857045609258,124.0,130.42857142857142,1.2153381186248584
2020-10-04,1668.0,424.0,20975.0,9280.0,12205.0,424.0,212.0,17715.0,4212.0,20551.0,20.0,8.0,19.0,2.0,39.0,54.0,418.42857142857144,210.0,50.0,69.32738390348703,49.39943476212906,2.0214541120381404,1.4014212526855065,0.9985869053226567,21.0,16.428571428571427,212.0,8.0,210.0,30255.0,42460.0,21471.85714285714,37.57142857142857,1.0460306871247498,108.0,145.0,1.2958623214939584
2020-10-05,1668.0,446.0,20900.0,9436.0,12158.0,447.0,210.0,17761.0,4220.0,20454.0,23.0,-2.0,46.0,8.0,69.0,69.42857142857143,436.2857142857143,216.57142857142856,46.97986577181208,68.89504219409282,49.18341412905352,2.1339712918660285,1.4702004219409284,1.0495599378735823,22.0,17.857142857142858,237.0,-2.0,216.57142857142858,30336.0,42494.0,21464.285714285714,51.57142857142857,1.0816993464052287,183.0,157.42857142857142,1.3954236682159458
2020-10-06,1666.0,449.0,21489.0,8848.0,12109.0,449.0,219.0,17838.0,4225.0,21040.0,2.0,9.0,77.0,5.0,79.0,79.71428571428571,455.85714285714283,224.1428571428572,48.775055679287306,70.834294755579,50.62667860340196,2.0894411094048118,1.4800408741800442,1.0578146350657305,3.0,19.571428571428573,230.0,9.0,224.14285714285714,30337.0,42446.0,21455.571428571428,60.142857142857146,1.1673076923076924,144.0,180.71428571428572,1.44807821982468
2020-10-07,1664.0,470.0,21820.0,8474.0,12134.0,470.0,233.0,17841.0,4220.0,21350.0,21.0,14.0,3.0,-5.0,24.0,83.0,474.14285714285717,234.7142857142857,49.57446808510638,72.02746418432693,51.42830206467427,2.153987167736022,1.5514623357760613,1.1077590270576037,21.0,18.285714285714285,237.0,14.0,234.71428571428572,30294.0,42428.0,21447.14285714286,64.71428571428571,1.251093066833229,189.0,195.71428571428572,1.4771526266708115
2020-10-08,1660.0,487.0,21768.0,8473.0,12191.0,487.0,239.0,17966.0,4250.0,21281.0,17.0,6.0,125.0,30.0,142.0,86.42857142857143,491.42857142857144,243.7142857142857,49.07597535934292,71.98174663536258,51.30090497737556,2.237228959941198,1.6103964815978307,1.1477187028657618,17.0,17.285714285714285,248.0,6.0,243.71428571428572,30241.0,42432.0,21432.85714285714,69.14285714285714,1.4221938775510203,261.0,206.57142857142858,1.4645380050861827
2020-10-09,1661.0,510.0,21728.0,8513.0,12197.0,510.0,252.0,18078.0,4285.0,21218.0,23.0,13.0,112.0,35.0,135.0,83.42857142857143,511.85714285714283,254.57142857142856,49.411764705882355,71.84947587712045,51.1993967670484,2.34720176730486,1.6864521675870505,1.2017531457655874,23.0,20.571428571428573,258.0,13.0,254.57142857142858,30241.0,42438.0,21432.428571428572,63.0,1.4066465256797585,256.0,207.71428571428572,1.4181398923904691
2020-10-10,1665.0,531.0,21450.0,8799.0,12194.0,532.0,278.0,18149.0,4293.0,20919.0,22.0,26.0,71.0,8.0,93.0,87.0,536.0,268.85714285714283,52.255639097744364,70.91143508876327,50.53836910680206,2.4755244755244754,1.7554299315679855,1.2510896967697853,21.0,24.142857142857142,254.0,26.0,268.85714285714283,30249.0,42443.0,21408.285714285714,62.857142857142854,1.3064250411861615,229.0,241.0,1.3869615832363211
2020-10-11,1665.0,545.0,20875.0,9311.0,12202.0,545.0,275.0,18199.0,4306.0,20330.0,13.0,-3.0,50.0,13.0,63.0,96.0,554.8571428571429,281.7142857142857,50.45871559633027,69.15457496852846,49.24742851750496,2.6107784431137726,1.805472735705294,1.2857412475228838,14.0,18.857142857142858,270.0,-3.0,281.7142857142857,30186.0,42388.0,21360.85714285714,77.14285714285714,1.233150274588118,184.0,266.85714285714283,1.3583754208754208
2020-10-12,1663.0,590.0,20897.0,9328.0,12221.0,590.0,286.0,18202.0,4295.0,20307.0,45.0,11.0,3.0,-11.0,48.0,100.57142857142857,578.8571428571429,294.57142857142856,48.47457627118644,69.13813068651778,49.2319653206427,2.8233717758529933,1.9520264681555006,1.3900014135607595,45.0,24.0,304.0,11.0,294.57142857142856,30225.0,42446.0,21323.0,76.57142857142857,1.152017937219731,191.0,277.85714285714283,1.3416939996141228
2020-10-13,1664.0,618.0,21320.0,8939.0,12219.0,618.0,319.0,18278.0,4313.0,20702.0,28.0,33.0,76.0,18.0,104.0,94.57142857142857,604.5714285714286,307.2857142857143,51.61812297734628,70.45837602035758,50.190686943829746,2.898686679174484,2.042367560064774,1.4548707566269599,28.0,25.714285714285715,299.0,33.0,307.2857142857143,30259.0,42478.0,21297.0,68.85714285714286,1.1370274914089344,377.0,295.7142857142857,1.367660343270099
