calendar week,Not documented in an outbreak,Private household,Retirement/nursing home,Work place,Educational institution,Leisure,Overnight stay,Other,Unknown,Residences,Refugee accomodation,Health care centre,Medical practice,Medical rehabilitation,"Kindergarten, after-school child care",Dining venue,Public transport,Hospital,Care facility,Day-care centre for the elderly,Residential home,sum of cases,Not documented in an outbreak (%),Private household (%),Retirement/nursing home (%),Work place (%),Educational institution (%),Leisure (%),Overnight stay (%),Other (%),Unknown (%),Residences (%),Refugee accomodation (%),Health care centre (%),Medical practice (%),Medical rehabilitation (%),"Kindergarten, after-school child care (%)",Dining venue (%),Public transport (%),Hospital (%),Care facility (%),Day-care centre for the elderly (%),Residential home (%)
2020 - 36,6506,1183,22,102,44.0,184.0,77.0,130,221,38.0,24.0,2.0,4.0,1.0,25.0,4.0,23.0,15.0,5.0,,3.0,8613,75.53697898525485,13.735051666086148,0.2554278416347382,1.1842563566701496,0.5108556832694764,2.1363055845814465,0.8939974457215836,1.5093463369325437,2.5658887727853243,0.4411935446418205,0.2786485545106235,0.02322071287588529,0.04644142575177058,0.011610356437942644,0.2902589109485661,0.04644142575177058,0.2670381980726808,0.17415534656913967,0.05805178218971323,,0.034831069313827935
2020 - 37,6975,1287,83,172,131.0,240.0,54.0,187,377,76.0,35.0,1.0,7.0,4.0,27.0,37.0,7.0,23.0,29.0,2.0,5.0,9759,71.47248693513679,13.18782662158008,0.850496977149298,1.7624756634901115,1.3423506506814222,2.459268367660621,0.5533353827236397,1.9161799364689005,3.863100727533559,0.7787683164258633,0.3586433036171739,0.010246951531919254,0.07172866072343478,0.040987806127677016,0.27666769136181985,0.3791372066810124,0.07172866072343478,0.23567988523414285,0.29716159442565837,0.020493903063838508,0.05123475765959627
2020 - 38,8658,1465,134,274,191.0,319.0,27.0,352,512,134.0,31.0,2.0,5.0,3.0,28.0,52.0,22.0,40.0,32.0,1.0,8.0,12290,70.44751830756712,11.920260374288038,1.0903173311635477,2.229454841334418,1.5541090317331163,2.5956061838893407,0.21969080553295361,2.8641171684296176,4.165988608624898,1.0903173311635477,0.25223759153783565,0.016273393002441006,0.04068348250610252,0.024410089503661515,0.2278275020341741,0.4231082180634662,0.1790073230268511,0.32546786004882017,0.2603742880390561,0.008136696501220503,0.06509357200976403
2020 - 39,9358,1589,173,374,162.0,300.0,37.0,384,372,51.0,81.0,5.0,9.0,4.0,18.0,63.0,16.0,37.0,14.0,9.0,6.0,13062,71.64293370081151,12.165058949624866,1.3244526106262442,2.863267493492574,1.240238860817639,2.296738631143776,0.283264431174399,2.939825447864033,2.847955902618282,0.39044556729444185,0.6201194304088194,0.0382789771857296,0.06890215893431327,0.03062318174858368,0.13780431786862654,0.482315112540193,0.12249272699433472,0.283264431174399,0.10718113612004287,0.06890215893431327,0.045934772622875514
2020 - 40,11303,1926,272,396,251.0,267.0,49.0,364,547,70.0,183.0,7.0,30.0,4.0,41.0,69.0,39.0,60.0,13.0,22.0,11.0,15924,70.98090931926652,12.094951017332328,1.7081135393117306,2.4868123587038435,1.5762371263501636,1.6767143933685003,0.30771163024365733,2.2858578246671692,3.4350665661893993,0.4395880432052249,1.1492087415222305,0.04395880432052248,0.18839487565938207,0.025119316754584273,0.2574729967344888,0.4333082140165787,0.24491333835719667,0.37678975131876413,0.0816377794523989,0.13815624215021352,0.06907812107510676
2020 - 41,19385,2863,342,623,314.0,295.0,39.0,567,832,190.0,157.0,18.0,40.0,2.0,75.0,74.0,32.0,119.0,37.0,73.0,33.0,26110,74.24358483339716,10.96514745308311,1.3098429720413636,2.386058981233244,1.2026043661432402,1.1298353121409421,0.1493680582152432,2.1715817694369974,3.1865185752585212,0.7276905400229797,0.6013021830716201,0.0689391037916507,0.15319800842589046,0.0076599004212945234,0.2872462657985446,0.28341631558789737,0.12255840674071238,0.4557640750670241,0.14170815779394869,0.2795863653772501,0.12638835695135964
2020 - 42,32690,3947,811,741,315.0,599.0,51.0,540,1065,290.0,216.0,12.0,41.0,22.0,175.0,116.0,43.0,117.0,38.0,76.0,157.0,42062,77.7186058675289,9.38376682040797,1.9281061290475965,1.761685131472588,0.7488944890875374,1.4240882506775712,0.12124958394750607,1.283819124150064,2.5319766059626265,0.6894584185250345,0.5135276496600257,0.028529313870001426,0.09747515572250487,0.05230374209500261,0.41605249393752086,0.2757833674100138,0.1022300413675051,0.2781608102325139,0.09034282725500452,0.18068565451000904,0.37325852313251867
2020 - 43,61286,5733,1766,1150,439.0,648.0,95.0,546,1536,258.0,285.0,34.0,52.0,35.0,272.0,137.0,63.0,290.0,108.0,84.0,56.0,74873,81.85327153980741,7.6569657954135675,2.3586606653933995,1.535934181881319,0.5863261789964339,0.8654655216166041,0.12688151937280462,0.7292348376584349,2.0514738290171355,0.344583494717722,0.38064455811841386,0.04541022798605639,0.06945093691985095,0.04674582292682275,0.3632818238884511,0.18297650688499192,0.08414248126828096,0.38732253282224566,0.14424425360276735,0.1121899750243746,0.0747933166829164
2020 - 44,93972,7626,2582,1155,461.0,471.0,57.0,515,1861,411.0,368.0,77.0,86.0,69.0,284.0,92.0,17.0,448.0,189.0,233.0,48.0,111022,84.64268343211255,6.868908864909658,2.325665183477149,1.040334348147214,0.41523301687953734,0.42424024067301974,0.051341175622849525,0.4638720253643422,1.6762443479670697,0.3701968979121255,0.3314658356001513,0.06935562320981427,0.0774621246239484,0.062149844175028376,0.25580515573489937,0.08286645890003783,0.015312280448920032,0.40352362594801033,0.17023652969681685,0.2098683143881393,0.043234674208715386
2020 - 45,107615,8506,3093,1059,448.0,279.0,36.0,442,2024,457.0,361.0,52.0,114.0,96.0,313.0,57.0,23.0,427.0,158.0,126.0,40.0,125726,85.59486502394094,6.765505941491816,2.4601116714124367,0.8423078758570225,0.3563304328460303,0.22191114009830903,0.028633695496556002,0.3515581502632709,1.609849991250815,0.36348885672016923,0.2871323353960199,0.04135978238391423,0.09067336907242735,0.07635652132414934,0.24895407473394526,0.04533668453621367,0.018293749900577447,0.3396274438063726,0.12567010801266246,0.100217934237946,0.03181521721839556
